stim,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,instr_text.started,instr_text.stopped,fix.started,fix.stopped,grating.started,grating.stopped,triplets.started,triplets.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
233,0,0,0,0,7.747221500001615,None,10.15571949997684,10.662853199988604,10.15571949997684,10.662853199988604,10.646120999997947,None,down,1,0.8130998999986332,10.646120999997947,None,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
331,0,1,1,1,,,14.095526499993866,14.596234299999196,14.095526499993866,14.596234299999196,14.596234299999196,None,right,0,1.534937299991725,14.596234299999196,None,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
232,0,2,2,2,,,18.078961699997308,18.579615199996624,18.078961699997308,18.579615199996624,18.579615199996624,None,right,1,0.8796918999869376,18.579615199996624,None,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
100,0,3,3,3,,,22.07884179998655,22.57962909998605,22.07884179998655,22.57962909998605,22.57962909998605,21.58078389998991,left,1,0.8315119000035338,22.57962909998605,21.58078389998991,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
003,0,4,4,4,,,26.062212199991336,26.56301829998847,26.062212199991336,26.56301829998847,26.56301829998847,25.578809400001774,right,1,0.6082001999893691,26.56301829998847,25.578809400001774,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
322,0,5,5,5,,,30.045576100004837,30.54628739997861,30.045576100004837,30.54628739997861,30.54628739997861,29.562140199996065,None,0,,30.54628739997861,29.562140199996065,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
020,0,6,6,6,,,34.02895209999406,34.52968849998433,34.02895209999406,34.52968849998433,34.52968849998433,33.5453955999983,down,1,0.8974848000216298,34.52968849998433,33.5453955999983,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
003,0,7,7,7,,,38.01216359998216,38.51285639998969,38.01216359998216,38.51285639998969,38.51285639998969,37.52880679999362,right,1,0.46636980000766926,38.51285639998969,37.52880679999362,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
212,0,8,8,8,,,41.99545539999963,42.49627039997722,41.99545539999963,42.49627039997722,42.49627039997722,41.51209039997775,right,0,0.7068917000142392,42.49627039997722,41.51209039997775,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
221,0,9,9,9,,,45.97899109998252,46.47990999999456,45.97899109998252,46.47990999999456,46.47990999999456,45.49549420000403,left,1,1.4113211999938358,46.47990999999456,45.49549420000403,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
003,0,10,10,10,,,49.96220119998907,50.46306280000135,49.96220119998907,50.46306280000135,50.46306280000135,49.47887459999765,right,1,1.4600296000135131,50.46306280000135,49.47887459999765,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
003,0,11,11,11,,,53.94557369998074,54.44634049999877,53.94557369998074,54.44634049999877,54.44634049999877,53.46206039999379,down,0,1.3167849000019487,54.44634049999877,53.46206039999379,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
003,0,12,12,12,,,57.92883729998721,58.42947780000395,57.92883729998721,58.42947780000395,58.42947780000395,57.44545289999223,left,0,1.7017053999879863,58.42947780000395,57.44545289999223,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
100,0,13,13,13,,,61.91212969998014,62.412943899980746,61.91212969998014,62.412943899980746,62.412943899980746,61.42869669999345,None,0,,62.412943899980746,61.42869669999345,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
112,0,14,14,14,,,65.89549470000202,66.39626129998942,65.89549470000202,66.39626129998942,66.39626129998942,65.41204719999223,left,0,1.350741600006586,66.39626129998942,65.41204719999223,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
100,0,15,15,15,,,69.87881819999893,70.37972139997873,69.87881819999893,70.37972139997873,70.37972139997873,69.39545829998679,None,0,,70.37972139997873,69.39545829998679,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
311,0,16,16,16,,,73.86225689999992,74.36293780000415,73.86225689999992,74.36293780000415,74.36293780000415,73.37896249999176,None,0,,74.36293780000415,73.37896249999176,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
331,0,17,17,17,,,77.84563989998423,78.34646499998053,77.84563989998423,78.34646499998053,78.34646499998053,77.36203739998746,None,0,,78.34646499998053,77.36203739998746,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
020,0,18,18,18,,,81.82873629999813,82.32963579997886,81.82873629999813,82.32963579997886,82.32963579997886,81.34539579998818,None,0,,82.32963579997886,81.34539579998818,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
131,0,19,19,19,,,85.8122122999921,86.31292749999557,85.8122122999921,86.31292749999557,86.31292749999557,85.32880789999035,None,0,,86.31292749999557,85.32880789999035,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
233,1,0,20,0,,,89.79560599999968,90.29630799998995,89.79560599999968,90.29630799998995,90.29630799998995,89.31200389997684,None,0,,90.29630799998995,89.31200389997684,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
331,1,1,21,1,,,93.77895889998763,94.27972019999288,93.77895889998763,94.27972019999288,94.27972019999288,93.29539389998536,None,0,,94.27972019999288,93.29539389998536,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
232,1,2,22,2,,,97.76223289998597,98.26300519998767,97.76223289998597,98.26300519998767,98.26300519998767,97.27891199997975,None,0,,98.26300519998767,97.27891199997975,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
100,1,3,23,3,,,101.74551099998644,102.24634559999686,101.74551099998644,102.24634559999686,102.24634559999686,101.2621075999923,None,0,,102.24634559999686,101.2621075999923,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
003,1,4,24,4,,,105.7289019000018,106.22970139997778,105.7289019000018,106.22970139997778,106.22970139997778,105.24534739999217,None,0,,106.22970139997778,105.24534739999217,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
322,1,5,25,5,,,109.7121322999883,110.21300129999872,109.7121322999883,110.21300129999872,110.21300129999872,109.22882859999663,None,0,,110.21300129999872,109.22882859999663,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
020,1,6,26,6,,,113.69541319998098,114.19619960000273,113.69541319998098,114.19619960000273,114.19619960000273,113.21203619998414,None,0,,114.19619960000273,113.21203619998414,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
003,1,7,27,7,,,117.67891409998992,118.17967189999763,117.67891409998992,118.17967189999763,118.17967189999763,117.19530449999729,None,0,,118.17967189999763,117.19530449999729,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
212,1,8,28,8,,,121.66279829997802,122.16295109997736,121.66279829997802,122.16295109997736,122.16295109997736,121.17875890000141,None,0,,122.16295109997736,121.17875890000141,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
221,1,9,29,9,,,125.64610939999693,126.14622429999872,125.64610939999693,126.14622429999872,126.14622429999872,125.16254059999483,None,0,,126.14622429999872,125.16254059999483,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
003,1,10,30,10,,,129.62887889999547,130.12950919999275,129.62887889999547,130.12950919999275,130.12950919999275,129.14543169998797,None,0,,130.12950919999275,129.14543169998797,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
003,1,11,31,11,,,133.61195150000276,134.11362659998122,133.61195150000276,134.11362659998122,134.11362659998122,133.12880879998556,None,0,,134.11362659998122,133.12880879998556,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
003,1,12,32,12,,,137.59558159997687,138.0963822999911,137.59558159997687,138.0963822999911,138.0963822999911,137.11205419999897,None,0,,138.0963822999911,137.11205419999897,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
100,1,13,33,13,,,141.57895709999138,142.07968490000349,141.57895709999138,142.07968490000349,142.07968490000349,141.0953297999804,None,0,,142.07968490000349,141.0953297999804,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
112,1,14,34,14,,,145.56214289998752,146.06295469999895,145.56214289998752,146.06295469999895,146.06295469999895,145.0788338999846,None,0,,146.06295469999895,145.0788338999846,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
100,1,15,35,15,,,149.54549059999408,150.04634309999528,149.54549059999408,150.04634309999528,150.04634309999528,149.06210069998633,None,0,,150.04634309999528,149.06210069998633,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
311,1,16,36,16,,,153.5289511999872,154.02956379999523,153.5289511999872,154.02956379999523,154.02956379999523,153.04546480000135,None,0,,154.02956379999523,153.04546480000135,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
331,1,17,37,17,,,157.51217159998487,158.01283839999815,157.51217159998487,158.01283839999815,158.01283839999815,157.0288414999959,None,0,,158.01283839999815,157.0288414999959,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
020,1,18,38,18,,,161.49547059999895,161.99758979998296,161.49547059999895,161.99758979998296,161.99758979998296,161.0131344999827,None,0,,161.99758979998296,161.0131344999827,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
131,1,19,39,19,,,165.4954502999899,165.9963912999956,165.4954502999899,165.9963912999956,165.9963912999956,165.01201529998798,None,0,,165.9963912999956,165.01201529998798,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
233,2,0,40,0,,,169.47882679998293,169.9794372000033,169.47882679998293,169.9794372000033,169.9794372000033,168.99536329999682,None,0,,169.9794372000033,168.99536329999682,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
331,2,1,41,1,,,173.4629808999889,173.96297100000083,173.4629808999889,173.96297100000083,173.96297100000083,172.978922099981,None,0,,173.96297100000083,172.978922099981,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
232,2,2,42,2,,,177.44560859998455,177.94633919998887,177.44560859998455,177.94633919998887,177.94633919998887,176.96211140000378,None,0,,177.94633919998887,176.96211140000378,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
100,2,3,43,3,,,181.42888689998654,181.92972610000288,181.42888689998654,181.92972610000288,181.92972610000288,180.94585200000438,None,0,,181.92972610000288,180.94585200000438,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
003,2,4,44,4,,,185.412571199995,185.9134637999814,185.412571199995,185.9134637999814,185.9134637999814,184.9286621999927,None,0,,185.9134637999814,184.9286621999927,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
322,2,5,45,5,,,189.39560889999848,189.8964033999946,189.39560889999848,189.8964033999946,189.8964033999946,188.91211770000518,None,0,,189.8964033999946,188.91211770000518,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
020,2,6,46,6,,,193.37879619997693,193.87973049998982,193.37879619997693,193.87973049998982,193.87973049998982,192.8963715999853,None,0,,193.87973049998982,192.8963715999853,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
003,2,7,47,7,,,197.36281550000422,197.86292179999873,197.36281550000422,197.86292179999873,197.86292179999873,196.87904729999718,None,0,,197.86292179999873,196.87904729999718,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
